m,n,k,cutlass_time_ms,cutlass_gflops,cublas_time_ms,cublas_gflops
256,256,256,0.020384,1646.12,0.310656,108.012
256,256,512,0.029056,2309.64,0.384928,174.341
256,256,768,0.037664,2672.67,0.440608,228.465
256,256,1024,0.04448,3017.48,0.372064,360.738
256,256,1280,0.052224,3212.55,0.333248,503.445
256,256,1536,0.060192,3344.74,0.37888,531.373
256,256,1792,0.067872,3460.65,0.332512,706.384
256,256,2048,0.075712,3545.48,0.376416,713.135
256,256,2304,0.083104,3633.88,0.4016,751.967
256,256,2560,0.091264,3676.63,0.518112,647.629
256,256,2816,0.098912,3731.59,0.458656,804.74
256,256,3072,0.10592,3801.48,0.422624,952.746
256,256,3328,0.114528,3808.74,0.450944,967.321
256,256,3584,0.121408,3869.28,0.440992,1065.24
256,256,3840,0.129632,3882.66,0.460448,1093.1
256,256,4096,0.136576,3930.93,0.516896,1038.64
256,256,4352,0.145408,3922.93,0.45152,1263.34
256,256,4608,0.15232,3965.2,0.546464,1105.25
256,256,4864,0.161312,3952.18,0.505344,1261.58
256,256,5120,0.1704,3938.31,0.457952,1465.41
256,256,5376,0.177344,3973.31,0.485024,1452.8
256,256,5632,0.184672,3997.34,0.414656,1780.26
256,256,5888,0.210592,3664.68,0.535904,1440.09
256,256,6144,0.222368,3621.5,0.51856,1552.97
256,512,256,0.021888,3066.01,0.349312,192.117
256,512,512,0.029664,4524.6,0.352352,380.919
256,512,768,0.038368,5247.25,0.443104,454.355
256,512,1024,0.044384,6048.02,0.338688,792.574
256,512,1280,0.052704,6366.58,0.410656,817.093
256,512,1536,0.060416,6664.68,0.381888,1054.38
256,512,1792,0.067904,6918.03,0.395328,1188.28
256,512,2048,0.0752,7139.24,0.449312,1194.87
256,512,2304,0.083488,7234.33,0.426432,1416.36
256,512,2560,0.091168,7361.01,0.452448,1483.24
256,512,2816,0.097664,7558.54,0.525024,1406.03
256,512,3072,0.105984,7598.38,0.454848,1770.5
256,512,3328,0.114688,7606.86,0.411008,2122.62
256,512,3584,0.123392,7614.14,0.394656,2380.62
256,512,3840,0.142784,7050.04,0.44384,2268.01
256,512,4096,0.156352,6867.46,0.39568,2713.66
256,512,4352,0.16912,6745.81,0.607232,1878.77
256,512,4608,0.177184,6817.54,0.54032,2235.64
256,512,4864,0.187392,6804.28,0.586592,2173.69
256,512,5120,0.195808,6854.56,0.535616,2505.86
256,512,5376,0.205696,6851.31,0.57936,2432.49
256,512,5632,0.217728,6780.91,0.631136,2339.27
256,512,5888,0.2256,6841.77,0.52912,2917.11
256,512,6144,0.234464,6869.34,0.565472,2848.26
256,768,256,0.022208,4532.75,0.381888,263.594
256,768,512,0.029632,6794.23,0.360928,557.803
256,768,768,0.037376,8079.78,0.339136,890.468
256,768,1024,0.044832,8981.38,0.379616,1060.69
256,768,1280,0.052704,9549.87,0.376768,1335.88
256,768,1536,0.060544,9975.88,0.468096,1290.29
256,768,1792,0.068064,10352.7,0.386176,1824.67
256,768,2048,0.074368,10828.7,0.44576,1806.59
256,768,2304,0.08304,10910,0.399616,2267.1
256,768,2560,0.091872,10956.9,0.44128,2281.17
256,768,2816,0.111232,9954.84,0.506752,2185.09
256,768,3072,0.123648,9769.34,0.425856,2836.54
256,768,3328,0.133312,9816.24,0.523232,2501.04
256,768,3584,0.141952,9927.91,0.47104,2991.86
256,768,3840,0.151008,9999.14,0.496288,3042.49
256,768,4096,0.156736,10276,0.4304,3742.13
256,768,4352,0.169472,10097.7,0.493184,3469.85
256,768,4608,0.17792,10184,0.434016,4174.82
256,768,4864,0.189216,10108,0.4712,4059
256,768,5120,0.199136,10110,0.469184,4290.99
256,768,5376,0.20688,10218.1,0.538496,3925.62
256,768,5632,0.218176,10150.5,0.556288,3981.02
256,768,5888,0.22432,10321.2,0.530688,4362.74
256,768,6144,0.234016,10323.7,0.591328,4085.58
256,1024,256,0.021568,6223,0.346816,387
256,1024,512,0.02976,9020.01,0.370624,724.28
256,1024,768,0.03712,10847.3,0.376288,1070.07
256,1024,1024,0.0448,11983.7,0.401664,1336.62
256,1024,1280,0.05168,12985.5,0.45184,1485.24
256,1024,1536,0.060992,13203.5,0.391104,2059.06
256,1024,1792,0.068448,13726.1,0.400992,2343
256,1024,2048,0.076128,14104.4,0.383328,2801.1
256,1024,2304,0.097472,12392.9,0.441408,2736.61
256,1024,2560,0.106496,12603.1,0.415904,3227.13
256,1024,2816,0.116704,12650.8,0.5016,2943.37
256,1024,3072,0.123872,13002.2,0.497408,3238.01
256,1024,3328,0.133792,13041.4,0.465344,3749.55
256,1024,3584,0.142944,13145.3,0.371584,5056.86
256,1024,3840,0.151136,13320.9,0.500416,4023.18
256,1024,4096,0.158912,13513.7,0.44544,4821.04
256,1024,4352,0.17008,13415.5,0.545632,4181.76
256,1024,4608,0.18016,13409.9,0.530592,4553.25
256,1024,4864,0.190016,13420.6,0.489312,5211.68
256,1024,5120,0.204,13158.6,0.501472,5352.95
256,1024,5376,0.208448,13521.7,0.557888,5052.22
256,1024,5632,0.21872,13500.3,0.483712,6104.44
256,1024,5888,0.225888,13666.1,0.525632,5872.94
256,1024,6144,0.2352,13695.7,0.56256,5726.01
256,1280,256,0.02128,7884.03,0.31216,537.456
256,1280,512,0.029952,11202.7,0.3944,850.772
256,1280,768,0.035392,14221.2,0.330496,1522.91
256,1280,1024,0.046112,14553.4,0.390528,1718.41
256,1280,1280,0.053184,15772.8,0.412864,2031.81
256,1280,1536,0.060832,16547.8,0.458624,2194.9
256,1280,1792,0.076,15452.7,0.347584,3378.77
256,1280,2048,0.085088,15774,0.412096,3256.95
256,1280,2304,0.097248,15526.8,0.431136,3502.26
256,1280,2560,0.106496,15753.8,0.456192,3677.67
256,1280,2816,0.11664,15822.1,0.410688,4493.66
256,1280,3072,0.126976,15855.5,0.439104,4584.94
256,1280,3328,0.136448,15984.4,0.424192,5141.63
256,1280,3584,0.14352,16365.7,0.500864,4689.52
256,1280,3840,0.153216,16425.1,0.507584,4957.96
256,1280,4096,0.157056,17091.7,0.456032,5886.33
256,1280,4352,0.17168,16613,0.436288,6537.26
256,1280,4608,0.182048,16588.5,0.50352,5997.57
